sampleName	DepthPG	sampleType
HuN.T5	271.428953991659	Tailings
HuN.T7	177.676577004191	Tailings
HuN.T9	228.09921337671	Tailings
JS.Fa5	739.84820897865	Farmland
JS.Fa7	726.410544123339	Farmland
JS.Fa9	983.425978096693	Farmland
JS.Fo5	982.107403147337	Forest
JS.Fo7	767.310227801256	Forest
JS.Fo9	999.564542044314	Forest
JS.T5	30.3140368063129	Tailings
JS.T7	305.950180687709	Tailings
JS.T9	1848.08325270361	Tailings
JX.Fa10	536.501417347125	Farmland
JX.Fa15	710.200424052999	Farmland
JX.Fa17	706.793046948674	Farmland
JX.Fa19	756.959341615889	Farmland
JX.Fa25	674.265690991059	Farmland
JX.Fa27	683.533589835496	Farmland
JX.Fa29	707.065880711433	Farmland
JX.Fa35	828.471148745637	Farmland
JX.Fa37	894.711745993865	Farmland
JX.Fa39	731.220268129976	Farmland
JX.Fa45	739.895478808506	Farmland
JX.Fa47	825.559952331596	Farmland
JX.Fa49	856.229571430365	Farmland
JX.Fa5	681.910653819316	Farmland
JX.Fa7	543.09109315429	Farmland
JX.Fo10	719.65904210806	Forest
JX.Fo15	627.275921201287	Forest
JX.Fo17	639.68844699807	Forest
JX.Fo19	559.751335508511	Forest
JX.Fo25	445.01977790752	Forest
JX.Fo27	5.50842586090006	Forest
JX.Fo29	594.492083818448	Forest
JX.Fo35	709.150922670176	Forest
JX.Fo37	1317.77214857567	Forest
JX.Fo39	798.011328667948	Forest
JX.Fo45	732.35615133693	Forest
JX.Fo47	726.066937258579	Forest
JX.Fo49	790.193321395594	Forest
JX.Fo5	562.791476127105	Forest
JX.Fo7	674.551751766356	Forest
JX.T10	1187.06325142156	Tailings
JX.T15	1100.01741775918	Tailings
JX.T17	802.176103388445	Tailings
JX.T19	1230.05057526241	Tailings
JX.T26	551.108308752523	Tailings
JX.T27	501.261709659646	Tailings
JX.T28	799.641474641013	Tailings
JX.T35	270.419919937713	Tailings
JX.T37	234.93742949591	Tailings
JX.T39	552.940384428543	Tailings
JX.T45	600.144720030987	Tailings
JX.T47	295.465923836665	Tailings
JX.T5	1285.39710442955	Tailings
JX.T50	1997.28106359765	Tailings
JX.T7	1484.93634988316	Tailings
LN.Fa1	673.560229621521	Farmland
LN.Fa2	680.200875064479	Farmland
LN.Fa4	562.664072785223	Farmland
LN.Fo10	664.420714797813	Forest
LN.Fo6	686.31181765692	Forest
LN.Fo8	640.25682571711	Forest
LN.T10	1854.76857942076	Tailings
LN.T6	2118.52925388519	Tailings
LN.T8	780.375192723111	Tailings
NM.Fa16	719.293838127426	Farmland
NM.Fa18	702.93048100627	Farmland
NM.Fa20	723.943104649666	Farmland
NM.Fa7	980.768130155108	Farmland
NM.Fa8	845.240471170146	Farmland
NM.Fa9	874.173077002326	Farmland
NM.Fo10	780.103460447932	Forest
NM.Fo6	658.246479514718	Forest
NM.Fo8	725.964016504039	Forest
NM.Gr16	723.802508041638	Grass
NM.Gr18	780.543420454447	Grass
NM.Gr20	774.808500093578	Grass
NM.Gr25	741.813895228001	Grass
NM.Gr28	687.58678227911	Grass
NM.Gr30	652.728911043512	Grass
NM.Gr7	866.672372342765	Grass
NM.Gr8	875.826701475996	Grass
NM.Gr9	905.161361560448	Grass
NM.T16	597.031699270847	Tailings
NM.T18	397.452509188693	Tailings
NM.T20	356.579202136748	Tailings
NM.T26	927.91213242046	Tailings
NM.T28	1213.51989575946	Tailings
NM.T30	440.517678961615	Tailings
NM.T35	2304.61748328083	Tailings
NM.T38	2309.91135311487	Tailings
NM.T40	2238.03644635566	Tailings
NM.T7	1221.06763229347	Tailings
NM.T8	425.028274500023	Tailings
NM.T9	3037.74193845821	Tailings
QH.Go1	154.647654640229	Gobi
QH.Go3	812.030170155723	Gobi
QH.Go7	279.550196840992	Gobi
QH.Gr10	707.602764099217	Grass
QH.Gr6	690.811996596696	Grass
QH.Gr7	699.961628420302	Grass
QH.T10	1170.83381045296	Tailings
QH.T12	297.816391190664	Tailings
QH.T14	964.068116973378	Tailings
QH.T17	1123.98593212442	Tailings
QH.T7	1023.89494917036	Tailings
QH.T9	1623.60224153042	Tailings
SC.Gr10	654.607077472567	Grass
SC.Gr5	641.324699425801	Grass
SC.Gr7	633.953869309535	Grass
SC.T10	1108.39895627953	Tailings
SC.T5	670.725906841958	Tailings
SC.T7	994.188366887175	Tailings
XJ.Go10	739.820365309872	Gobi
XJ.Go15	637.20989839395	Gobi
XJ.Go18	646.438817849841	Gobi
XJ.Go20	660.338373071721	Gobi
XJ.Go5	789.138045685742	Gobi
XJ.Go8	790.003132234035	Gobi
XJ.Gr15	597.175529594649	Grass
XJ.Gr16	592.773957563168	Grass
XJ.Gr20	668.455794526245	Grass
XJ.Gr5	688.21095866745	Grass
XJ.Gr7	621.194588674162	Grass
XJ.Gr8	664.316235167473	Grass
XJ.T10	767.498894658689	Tailings
XJ.T15	920.737579376654	Tailings
XJ.T17	742.848320627221	Tailings
XJ.T19	688.738448708664	Tailings
XJ.T27	634.37779380443	Tailings
XJ.T28	597.397401680982	Tailings
XJ.T29	585.050965593105	Tailings
XJ.T35	625.720455838959	Tailings
XJ.T37	495.442682477645	Tailings
XJ.T39	540.075880781819	Tailings
XJ.T5	728.108501586266	Tailings
XJ.T6	311.530076886676	Tailings
XZ.Gr10	594.61154675079	Grass
XZ.Gr5	633.141023857853	Grass
XZ.Gr7	682.338945643263	Grass
YN.Fa10	852.779913007388	Farmland
YN.Fa15	725.844762767038	Farmland
YN.Fa17	678.559649676924	Farmland
YN.Fa20	740.249763015073	Farmland
YN.Fa25	815.427156672668	Farmland
YN.Fa27	717.957442996829	Farmland
YN.Fa30	679.004358405892	Farmland
YN.Fa35	656.01286124706	Farmland
YN.Fa38	638.688706724	Farmland
YN.Fa40	608.167869051492	Farmland
YN.Fa5	692.505594241843	Farmland
YN.Fa7	780.396239651623	Farmland
YN.Fo10	807.247534033581	Forest
YN.Fo15	998.215687246467	Forest
