Plasmid_type	ARG	mean
Conj	ABC	0.724601790202664
Conj	oprM	0.709263850070888
Conj	vanH	0.78550134758313
ICE	bacA	0.712176055318438
ICE	bcrA	0.717473485514398
ICE	cob(I)A_A	0.718039130568611
ICE	ABC	0.718355309735756
ICE	patA	0.693467871544957
ICE	penA	0.694284051151611
ICE	tetA(48)	0.799052954362776
ICE	vanH	0.694799036907488
Phage	aac(6')-II	0.694036440857541
Phage	abeS	0.695148565956631
Phage	bacA	0.912142000094077
Phage	bcrA	0.792239116587851
Phage	cob(I)A_A	0.882750361803506
Phage	ABC	1.50889220822802
Phage	oprM	0.701378367094335
Phage	patA	0.771818753144777
Phage	penA	1.02844234874595
Phage	rosB	1.06915558260156
Phage	rpoB2	0.757707684855677
Phage	tetA(48)	1.07064234579457
Phage	ugd	1.32614366017107
Phage	vanH	0.790118087186432
unconj	abeS	0.694387668190157
unconj	bacA	0.844603883040643
unconj	bcrA	0.837038925151983
unconj	ABC	0.788584345590194
unconj	oprM	0.976235665320715
unconj	patA	0.693641011876051
unconj	penA	0.693591668022503
unconj	qnrS	1.88301793729588
unconj	sul1	0.708631146281396
unconj	tetA(48)	0.703667361991022
unconj	vanH	0.718747423037942
unmob	aac(6')-II	1.44528731555361
unmob	aadA	2.92893769415626
unmob	abeS	2.80016358465294
unmob	bacA	3.34654362876633
unmob	bcrA	2.96761987693373
unmob	cob(I)A_A	2.76076729741808
unmob	floR	1.75425632694136
unmob	mexB	2.40044484077581
unmob	ABC	3.9310078943821
unmob	oprM	3.43351251345681
unmob	patA	2.67604554301317
unmob	penA	3.45967676080006
unmob	pmrA	0.985824813785301
unmob	qnrS	0.720808959469775
unmob	rosB	2.55944079326524
unmob	rpoB2	3.96610426665052
unmob	sul1	3.11620112673925
unmob	tetA(48)	3.42316430198901
unmob	ugd	2.20755733172356
unmob	vanH	3.22523038694061
