sampleID	drug_type	DepthPGbase	sampleType	DepthPG	totalARG_depth	drug_percent	location
ERR1713332.S	MLS	500.052107633736	S	218.600070707071	2210.63565656566	0.0988856169300543	 Australia_Woden
ERR1713332.S	aminoglycoside	300.042859304541	S	131.165111111111	2210.63565656566	0.0593336630220121	 Australia_Woden
ERR1713332.S	Others	1.03553041887311	S	0.452686868686869	2210.63565656566	0.000204776787772501	 Australia_Woden
ERR1713332.S	Others	21.0803779529091	S	9.21538383838384	2210.63565656566	0.00416865792018412	 Australia_Woden
ERR1713332.S	bacitracin	277.76342788799	S	121.425555555556	2210.63565656566	0.0549278915297136	 Australia_Woden
ERR1713332.S	beta-lactam	624.375834190215	S	272.948757575758	2210.63565656566	0.123470711587	 Australia_Woden
ERR1713332.S	Others	203.115146397833	S	88.7927171717172	2210.63565656566	0.0401661471930031	 Australia_Woden
ERR1713332.S	Others	11.9553206869748	S	5.22632323232323	2210.63565656566	0.0023641721406243	 Australia_Woden
ERR1713332.S	Others	20.4684084968252	S	8.94785858585858	2210.63565656566	0.00404764057762443	 Australia_Woden
ERR1713332.S	Others	55.2145715866266	S	24.137303030303	2210.63565656566	0.0109187160528305	 Australia_Woden
ERR1713332.S	Others	0	S	0	2210.63565656566	0	 Australia_Woden
ERR1713332.S	glycopeptide	340.648008955445	S	148.915838383838	2210.63565656566	0.0673633567528659	 Australia_Woden
ERR1713332.S	multidrug	1814.16722040872	S	793.071515151515	2210.63565656566	0.35875270209999	 Australia_Woden
ERR1713332.S	Others	50.988574165407	S	22.2898888888889	2210.63565656566	0.0100830224205817	 Australia_Woden
ERR1713332.S	Others	0.965310476375893	S	0.421989898989899	2210.63565656566	0.000190890750240355	 Australia_Woden
ERR1713332.S	Others	0	S	0	2210.63565656566	0	 Australia_Woden
ERR1713332.S	peptide	237.920068722176	S	104.007848484848	2210.63565656566	0.0470488423435775	 Australia_Woden
ERR1713332.S	phenicol	215.879995115539	S	94.3729292929293	2210.63565656566	0.0426904040078422	 Australia_Woden
ERR1713332.S	Others	15.9863705416103	S	6.98851515151515	2210.63565656566	0.00316131476969488	 Australia_Woden
ERR1713332.S	Others	1.61277115709803	S	0.705030303030303	2210.63565656566	0.000318926504662286	 Australia_Woden
ERR1713332.S	Others	0.567720956616217	S	0.248181818181818	2210.63565656566	0.000112267174124651	 Australia_Woden
ERR1713332.S	Others	2.19098235849666	S	0.95779797979798	2210.63565656566	0.00043326813125143	 Australia_Woden
ERR1713332.S	sulfonamide	105.964111429844	S	46.322696969697	2210.63565656566	0.0209544692867489	 Australia_Woden
ERR1713332.S	Others	0	S	0	2210.63565656566	0	 Australia_Woden
ERR1713332.S	tetracycline	158.885201261818	S	69.4573939393939	2210.63565656566	0.0314196478886529	 Australia_Woden
ERR1713332.S	Others	95.9941042273391	S	41.9642626262626	2210.63565656566	0.0189828941289477	 Australia_Woden
ERR1713333.S	MLS	606.121510051641	S	264.03175	2136.657875	0.123572310330684	 Australia_Melbourne
ERR1713333.S	aminoglycoside	278.453287008874	S	121.29665	2136.657875	0.0567693365508973	 Australia_Melbourne
ERR1713333.S	Others	4.11929412896996	S	1.7944	2136.657875	0.000839816248073876	 Australia_Melbourne
ERR1713333.S	Others	21.8878822098587	S	9.53455	2136.657875	0.00446236625505616	 Australia_Melbourne
ERR1713333.S	bacitracin	370.491871301098	S	161.38945	2136.657875	0.0755335947267646	 Australia_Melbourne
ERR1713333.S	beta-lactam	432.316693462988	S	188.320875	2136.657875	0.0881380576663449	 Australia_Melbourne
ERR1713333.S	Others	169.130723970707	S	73.6748	2136.657875	0.0344813275265232	 Australia_Melbourne
ERR1713333.S	Others	39.3675067661799	S	17.148825	2136.657875	0.00802600416316065	 Australia_Melbourne
ERR1713333.S	Others	12.972769219525	S	5.65105	2136.657875	0.0026448080743858	 Australia_Melbourne
ERR1713333.S	Others	23.4750294336754	S	10.225925	2136.657875	0.00478594402952789	 Australia_Melbourne
ERR1713333.S	Others	1.89969843628838	S	0.827525	2136.657875	0.000387298785492273	 Australia_Melbourne
ERR1713333.S	glycopeptide	370.334505266468	S	161.3209	2136.657875	0.0755015119114472	 Australia_Melbourne
ERR1713333.S	multidrug	1746.9153000275	S	760.97135	2136.657875	0.35615030319255	 Australia_Melbourne
ERR1713333.S	Others	28.5247459380753	S	12.425625	2136.657875	0.00581544904562692	 Australia_Melbourne
ERR1713333.S	Others	3.06375944300229	S	1.3346	2136.657875	0.000624620354814643	 Australia_Melbourne
ERR1713333.S	Others	0	S	0	2136.657875	0	 Australia_Melbourne
ERR1713333.S	peptide	167.300181651023	S	72.8774	2136.657875	0.0341081278630066	 Australia_Melbourne
ERR1713333.S	phenicol	207.970119048094	S	90.593575	2136.657875	0.0423996635399572	 Australia_Melbourne
ERR1713333.S	Others	37.7875334133803	S	16.460575	2136.657875	0.00770388895320923	 Australia_Melbourne
ERR1713333.S	Others	11.8151360012424	S	5.146775	2136.657875	0.00240879696287362	 Australia_Melbourne
ERR1713333.S	Others	2.8170356709832	S	1.227125	2136.657875	0.000574319835832398	 Australia_Melbourne
ERR1713333.S	Others	6.84060166510138	S	2.979825	2136.657875	0.00139461962294736	 Australia_Melbourne
ERR1713333.S	sulfonamide	113.488171678424	S	49.436425	2136.657875	0.0231372675889911	 Australia_Melbourne
ERR1713333.S	Others	0.235762097105002	S	0.1027	2136.657875	4.80657203952224e-05	 Australia_Melbourne
ERR1713333.S	tetracycline	202.822493552053	S	88.351225	2136.657875	0.0413501974432851	 Australia_Melbourne
