sampleID	drug_type	DepthPGbase	sampleType	DepthPG	totalARG_depth	drug_percent	location
HeB.Gr10	MLS	37.8071765841445	Gr	16.8625808953045	308.726394691034	0.0546198225525232	HeB_Gr_Grass
HeB.Gr10	Others	0	Gr	0	308.726394691034	0	HeB_Gr_Grass
HeB.Gr10	aminoglycoside	52.9448467782423	Gr	23.614214084477	308.726394691034	0.0764891324180737	HeB_Gr_Grass
HeB.Gr10	Others	0.0127791192396305	Gr	0.00569968327228599	308.726394691034	1.84619241188953e-05	HeB_Gr_Grass
HeB.Gr10	Others	0.441496484243062	Gr	0.196914206591754	308.726394691034	0.000637827571525983	HeB_Gr_Grass
HeB.Gr10	bacitracin	60.4494035909275	Gr	26.9613615779077	308.726394691034	0.0873309248627414	HeB_Gr_Grass
HeB.Gr10	beta-lactam	49.9199843216809	Gr	22.2650790133242	308.726394691034	0.0721191300653336	HeB_Gr_Grass
HeB.Gr10	Others	0	Gr	0	308.726394691034	0	HeB_Gr_Grass
HeB.Gr10	Others	11.1552838689081	Gr	4.97542777972044	308.726394691034	0.0161159779833523	HeB_Gr_Grass
HeB.Gr10	Others	7.17913478964049	Gr	3.20200427765815	308.726394691034	0.0103716570164422	HeB_Gr_Grass
HeB.Gr10	Others	0.337923169785985	Gr	0.150718919045217	308.726394691034	0.000488195766986665	HeB_Gr_Grass
HeB.Gr10	Others	9.49723122599049	Gr	4.23591085870293	308.726394691034	0.0137205983406185	HeB_Gr_Grass
HeB.Gr10	glycopeptide	55.4446610716702	Gr	24.7291696181797	308.726394691034	0.0801006005428466	HeB_Gr_Grass
HeB.Gr10	multidrug	200.059049888219	Gr	89.2294060909225	308.726394691034	0.289024222176472	HeB_Gr_Grass
HeB.Gr10	Others	6.67227288201618	Gr	2.97593608922728	308.726394691034	0.00963939637297787	HeB_Gr_Grass
HeB.Gr10	Others	5.46874335234006	Gr	2.4391434512242	308.726394691034	0.00790066380189242	HeB_Gr_Grass
HeB.Gr10	Others	0.0283151164081919	Gr	0.0126289764042666	308.726394691034	4.09066947997931e-05	HeB_Gr_Grass
HeB.Gr10	peptide	8.9289183570166	Gr	3.98243459856522	308.726394691034	0.0128995598272404	HeB_Gr_Grass
HeB.Gr10	phenicol	25.5212224428699	Gr	11.3828568243426	308.726394691034	0.0368703713711757	HeB_Gr_Grass
HeB.Gr10	Others	4.84565086197722	Gr	2.16123463937163	308.726394691034	0.00700048546718702	HeB_Gr_Grass
HeB.Gr10	Others	3.08960720162436	Gr	1.37801222093785	308.726394691034	0.00446353873408501	HeB_Gr_Grass
HeB.Gr10	Others	0.00575364993178833	Gr	0.00256621615745654	308.726394691034	8.31226678893052e-06	HeB_Gr_Grass
HeB.Gr10	Others	14.2153345974878	Gr	6.34025736014592	308.726394691034	0.0205368166414508	HeB_Gr_Grass
HeB.Gr10	sulfonamide	16.5833061541598	Gr	7.39640901017175	308.726394691034	0.0239578122809159	HeB_Gr_Grass
HeB.Gr10	Others	2.58603907771348	Gr	1.1534131105852	308.726394691034	0.00373603660205184	HeB_Gr_Grass
HeB.Gr10	tetracycline	113.146858653473	Gr	50.4652351610387	308.726394691034	0.163462651813568	HeB_Gr_Grass
HeB.Gr10	Others	5.84683925990259	Gr	2.6077800277553	308.726394691034	0.00844689690483092	HeB_Gr_Grass
HeB.Gr6	MLS	40.2357657126655	Gr	17.9747795109114	357.816750458197	0.0502345949089696	HeB_Gr_Grass
HeB.Gr6	Others	0	Gr	0	357.816750458197	0	HeB_Gr_Grass
HeB.Gr6	aminoglycoside	51.7046205987525	Gr	23.0983339945573	357.816750458197	0.0645535290479808	HeB_Gr_Grass
HeB.Gr6	Others	0.0126144300676869	Gr	0.00563532457022709	357.816750458197	1.57491916267499e-05	HeB_Gr_Grass
HeB.Gr6	Others	0.51485367821554	Gr	0.230003858069811	357.816750458197	0.000642797906401203	HeB_Gr_Grass
HeB.Gr6	bacitracin	64.3624155888742	Gr	28.7530312523788	357.816750458197	0.0803568620405822	HeB_Gr_Grass
HeB.Gr6	beta-lactam	51.9441068315692	Gr	23.2053212024439	357.816750458197	0.0648525290465823	HeB_Gr_Grass
HeB.Gr6	Others	0.00470973804374605	Gr	0.00210401122958717	357.816750458197	5.88013620629248e-06	HeB_Gr_Grass
HeB.Gr6	Others	8.2790880076483	Gr	3.69856963954994	357.816750458197	0.0103364910525116	HeB_Gr_Grass
HeB.Gr6	Others	9.28741548379779	Gr	4.14902618579819	357.816750458197	0.0115953939565021	HeB_Gr_Grass
HeB.Gr6	Others	0.243049546196893	Gr	0.108579069535168	357.816750458197	0.000303448816736859	HeB_Gr_Grass
HeB.Gr6	Others	8.94081559971809	Gr	3.99418741525433	357.816750458197	0.0111626619216111	HeB_Gr_Grass
HeB.Gr6	glycopeptide	64.3272673363227	Gr	28.7373292499783	357.816750458197	0.0803129792363803	HeB_Gr_Grass
HeB.Gr6	multidrug	242.547577580141	Gr	108.354821902553	357.816750458197	0.302822105907007	HeB_Gr_Grass
HeB.Gr6	Others	10.0562943148245	Gr	4.49251231594937	357.816750458197	0.0125553437903523	HeB_Gr_Grass
HeB.Gr6	Others	6.85682605259415	Gr	3.06319351097265	357.816750458197	0.00856078846798011	HeB_Gr_Grass
HeB.Gr6	Others	0	Gr	0	357.816750458197	0	HeB_Gr_Grass
HeB.Gr6	peptide	10.6834825749837	Gr	4.7727001162438	357.816750458197	0.0133383920963236	HeB_Gr_Grass
HeB.Gr6	phenicol	27.8332550631001	Gr	12.434127050121	357.816750458197	0.0347499859472723	HeB_Gr_Grass
