MGE_type_final	ARG	mean
IS	AAC(6')-Ib7	0.267615412566392
IS	OXA-10	1.70255677920205
IS	aac(6')-II	0.857643607729507
IS	aadA	1.96196370355306
IS	abeS	2.14241434868617
IS	class_A	0.824277577842253
IS	cpaA	0.0548482975522714
IS	eptA	1.45930722084129
IS	floR	0.562408413036557
IS	mexA	2.26549325669758
IS	mexB	2.24820074098968
IS	mexF	0.764233701036386
IS	ABC	1.0310895460992
IS	oprM	2.51463705365326
IS	oprN	1.50470719616921
IS	rosB	1.25754832365992
IS	sul1	1.89822483794831
IS	tetG	1.28588244262836
IS	vanG	0.140552773184928
IS	vanH	1.26263974364142
Integron	abeS	0.0598926377880569
Integron	ABC	0.0507886081088645
Integron	vanH	0.0488243735398884
Transposon	AAC(6')-Ib7	1.68003075069073
Transposon	aadA	2.459115640353
Transposon	abeS	1.70826116964295
Transposon	eptA	0.0556376481035083
Transposon	mexA	0.539582214763988
Transposon	mexB	0.364850240621043
Transposon	mexF	0.0488980427833916
Transposon	ABC	0.377450932211111
Transposon	oprM	0.584355201825013
Transposon	rosB	0.0546365146686804
Transposon	sul1	2.45928595319723
Transposon	vanG	1.32043904359536
Transposon	vanH	0.0987751527291717
